property_address,status
1350 POTRERO AV,"Work Complete, CFC Issued"
1262 UNION ST,"Work Complete, CFC Issued"
1021 OAK ST,"Work Complete, CFC Issued"
1050 FELL ST,"Work Complete, CFC Issued"
545 FREDERICK ST,Non-Compliant
50 CAMP ST,"Work Complete, CFC Issued"
672 CAROLINA ST,"Work Complete, CFC Issued"
1712 MCALLISTER ST,Non-Compliant
2340 VALLEJO ST,"Work Complete, CFC Issued"
1708 FILBERT ST,"Work Complete, CFC Issued"
29 27TH ST,"Work Complete, CFC Issued"
1995 OAK ST,"Work Complete, CFC Issued"
1911 GREENWICH ST,"Work Complete, CFC Issued"
1845 LINCOLN WY,Non-Compliant
830 32ND AV,"Work Complete, CFC Issued"
520 CLAYTON ST,"Work Complete, CFC Issued"
630 GRAND VIEW AV,"Work Complete, CFC Issued"
2951 SAN BRUNO AV,"Permit Submitted, CFC Required by 9/15/20"
1135 STANYAN ST,Non-Compliant
1355 LEAVENWORTH ST,"Work Complete, CFC Issued"
1539 CLAY ST,"Work Complete, CFC Issued"
492 GROVE ST,"Permit Submitted, CFC Required by 9/15/20"
16 COLE ST,"Work Complete, CFC Issued"
528 OAK ST,Non-Compliant
830 BRODERICK ST,"Work Complete, CFC Issued"
3395 BALBOA ST,"Work Complete, CFC Issued"
289 CHESTNUT ST,"Work Complete, CFC Issued"
283 20TH AV,"Work Complete, CFC Issued"
1560 08TH AV,"Work Complete, CFC Issued"
629 ARGUELLO BL,"Work Complete, CFC Issued"
517 VALLEJO ST,"Work Complete, CFC Issued"
701 GUERRERO ST,"Permit Submitted, CFC Required by 9/15/20"
632 SAN BRUNO AV,"Work Complete, CFC Issued"
257 PIERCE ST,"Work Complete, CFC Issued"
949 CAPP ST,Non-Compliant
2952 FOLSOM ST,Non-Compliant
1595 CLAY ST,"Work Complete, CFC Issued"
2935 VAN NESS AV,Non-Compliant
384 CAPP ST,"Work Complete, CFC Issued"
1 MALLORCA WY,"Permit Submitted, CFC Required by 9/15/20"
150 PORTOLA DR,"Work Complete, CFC Issued"
2153 SACRAMENTO ST,"Work Complete, CFC Issued"
262 22ND AVE,Non-Compliant
216 JERSEY ST,"Work Complete, CFC Issued"
2474 WASHINGTON ST,"Work Complete, CFC Issued"
2154 TAYLOR ST,"Permit Submitted, CFC Required by 9/15/20"
400 WARREN DR,"Work Complete, CFC Issued"
349 02ND AV,"Work Complete, CFC Issued"
343 WALNUT ST,"Work Complete, CFC Issued"
1300 IRVING ST,"Work Complete, CFC Issued"
289 SAN JOSE AV,Non-Compliant
5940 CALIFORNIA ST,Non-Compliant
276 03RD AV,"Work Complete, CFC Issued"
89 HEATHER AV,"Work Complete, CFC Issued"
3575 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
112 PARNASSUS AV,"Work Complete, CFC Issued"
60 CRESTLINE DR,"Work Complete, CFC Issued"
425 GREENWICH ST,"Work Complete, CFC Issued"
2390 25TH AV,"Work Complete, CFC Issued"
1529 HYDE ST,"Work Complete, CFC Issued"
410 PIERCE ST,"Work Complete, CFC Issued"
7025 CALIFORNIA ST,"Work Complete, CFC Issued"
2250 BUCHANAN ST,"Work Complete, CFC Issued"
461 CHESTNUT ST,"Work Complete, CFC Issued"
101 STATES ST,"Work Complete, CFC Issued"
848 STANYAN ST,"Work Complete, CFC Issued"
2351 JACKSON ST,"Work Complete, CFC Issued"
1495 07TH AV,"Work Complete, CFC Issued"
3475 16TH ST,Non-Compliant
300 02ND AV,"Work Complete, CFC Issued"
695 48TH AV,"Work Complete, CFC Issued"
2300 CHESTNUT ST,Non-Compliant
2101 UNION ST,"Work Complete, CFC Issued"
1102 MASON ST,"Work Complete, CFC Issued"
191 DOUGLASS ST,"Work Complete, CFC Issued"
274 RED ROCK WY,"Work Complete, CFC Issued"
3068 22ND ST,"Work Complete, CFC Issued"
1700 19TH AV,Non-Compliant
3991 24TH ST,"Permit Submitted, CFC Required by 9/15/20"
1601 CASTRO ST,"Work Complete, CFC Issued"
970 BAY ST,"Work Complete, CFC Issued"
390 LIBERTY ST,Non-Compliant
2100 POST ST,"Work Complete, CFC Issued"
744 GUERRERO ST,"Work Complete, CFC Issued"
2200 TURK BL,Non-Compliant
3460 18TH ST,"Permit Submitted, CFC Required by 9/15/20"
985 CHURCH ST,"Work Complete, CFC Issued"
1056 14TH ST,"Work Complete, CFC Issued"
1960 FULTON ST,"Work Complete, CFC Issued"
120 PIERCE ST,"Work Complete, CFC Issued"
210 JULES AV,"Work Complete, No CFC Issued yet"
1134 MONTGOMERY ST,"Work Complete, CFC Issued"
2290 FRANCISCO ST,"Work Complete, CFC Issued"
1301 FELL ST,"Work Complete, CFC Issued"
410 BARTLETT ST,"Work Complete, CFC Issued"
1400 10TH AV,"Permit Submitted, CFC Required by 9/15/20"
2560 HYDE ST,Non-Compliant
400 DUBOCE AV,"Work Complete, CFC Issued"
2690 GREAT HY,Non-Compliant
3255 16TH ST,"Work Complete, CFC Issued"
1445 LAKE ST,"Work Complete, CFC Issued"
219 CLINTON PK,"Work Complete, CFC Issued"
3124 WASHINGTON ST,"Work Complete, CFC Issued"
960 BAY ST,"Work Complete, CFC Issued"
2349 27TH AV,"Work Complete, CFC Issued"
2301 LARKIN ST,"Work Complete, CFC Issued"
75 CAPRA WY,"Work Complete, CFC Issued"
728 COLE ST,"Work Complete, CFC Issued"
682 20TH AV,"Work Complete, CFC Issued"
590 26TH AV,"Work Complete, CFC Issued"
1637 CLAY ST,"Work Complete, CFC Issued"
1908 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
2300 LOMBARD ST,"Work Complete, CFC Issued"
3572 18TH ST,"Work Complete, CFC Issued"
1500 PACIFIC AV,"Permit Submitted, CFC Required by 9/15/20"
1426 TAYLOR ST,"Work Complete, CFC Issued"
318 25TH AV,"Work Complete, CFC Issued"
1084 NATOMA ST,"Work Complete, CFC Issued"
2201 LARKIN ST,"Work Complete, CFC Issued"
1840 15TH ST,"Work Complete, CFC Issued"
2379 20TH AV,"Work Complete, CFC Issued"
614 30TH AV,"Work Complete, CFC Issued"
399 STEINER ST,"Work Complete, CFC Issued"
1153 LEAVENWORTH ST,"Work Complete, CFC Issued"
1253 16TH AV,Non-Compliant
1160 CLAY ST,"Work Complete, CFC Issued"
3724 23RD ST,"Work Complete, No CFC Issued yet"
442 02ND AV,"Work Complete, CFC Issued"
1495 10TH AV,"Work Complete, CFC Issued"
1871 SACRAMENTO ST,"Work Complete, CFC Issued"
1223 ARGUELLO BL,"Work Complete, CFC Issued"
543 NATOMA ST,"Work Complete, CFC Issued"
604 SHOTWELL ST,"Work Complete, CFC Issued"
655 STEINER ST,"Work Complete, CFC Issued"
340 CASTRO ST,"Work Complete, CFC Issued"
700 12TH AV,"Work Complete, CFC Issued"
432 GUERRERO ST,Non-Compliant
1580 JACKSON ST,"Work Complete, CFC Issued"
725 BURNETT AV,"Work Complete, CFC Issued"
4166 24TH ST,"Work Complete, CFC Issued"
2640 GREENWICH ST,"Work Complete, CFC Issued"
424 COLE ST,Non-Compliant
1677 SACRAMENTO ST,"Work Complete, CFC Issued"
130 ACADIA ST,"Work Complete, CFC Issued"
1470 FULTON ST,Non-Compliant
375 14TH AV,"Work Complete, CFC Issued"
173 JULIAN AV,"Work Complete, CFC Issued"
467 GUERRERO ST,"Work Complete, CFC Issued"
1250 48TH AV,"Permit Submitted, CFC Required by 9/15/20"
223 DOLORES ST,"Work Complete, CFC Issued"
1371 JACKSON ST,"Work Complete, CFC Issued"
4220 CESAR CHAVEZ ST,"Work Complete, CFC Issued"
1443 NORIEGA ST,"Permit Submitted, CFC Required by 9/15/20"
1270 WALLER ST,Non-Compliant
251 PARNASSUS AV,"Work Complete, CFC Issued"
1106 CAPP ST,"Work Complete, CFC Issued"
1150 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
722 SHOTWELL ST,"Work Complete, CFC Issued"
1944 ANZA ST,"Work Complete, CFC Issued"
833 CORBETT AV,"Work Complete, CFC Issued"
2100 LYON ST,"Work Complete, CFC Issued"
10 ARGENT AL,"Work Complete, CFC Issued"
29 RAMONA AV,"Work Complete, CFC Issued"
2185 BAY ST,"Work Complete, CFC Issued"
2401 LARKIN ST,Non-Compliant
2205 TAYLOR ST,"Work Complete, CFC Issued"
1692 HAIGHT ST,"Work Complete, CFC Issued"
2125 HAYES ST,"Work Complete, CFC Issued"
885 FRANKLIN ST,"Work Complete, CFC Issued"
31 HOUSTON ST,Non-Compliant
4153 20TH ST,"Work Complete, CFC Issued"
1901 BEACH ST,"Work Complete, CFC Issued"
38 BELVEDERE ST,"Work Complete, CFC Issued"
329 SAN JOSE AV,"Work Complete, CFC Issued"
1901 MASON ST,"Work Complete, CFC Issued"
40 BEATRICE LN,"Work Complete, CFC Issued"
1670 CHESTNUT ST,Non-Compliant
990 UNION ST,Non-Compliant
723 HAIGHT ST,Non-Compliant
534 BROADWAY,"Permit Submitted, CFC Required by 9/15/20"
1734 GREAT HY,"Work Complete, CFC Issued"
179 ALHAMBRA ST,"Work Complete, CFC Issued"
47 SEWARD ST,"Work Complete, CFC Issued"
250 PARNASSUS AV,"Work Complete, CFC Issued"
1951 OAK ST,Non-Compliant
201 ROANOKE ST,"Work Complete, CFC Issued"
102 SOUTH PARK,Non-Compliant
2774 22ND ST,Non-Compliant
1760 FILBERT ST,"Work Complete, CFC Issued"
1543 VALLEJO ST,"Work Complete, CFC Issued"
690 CHURCH ST,"Work Complete, CFC Issued"
334 NOE ST,Non-Compliant
259 BARTLETT ST,"Work Complete, CFC Issued"
1034 DIVISADERO ST,"Work Complete, CFC Issued"
73 WEBSTER ST,"Work Complete, CFC Issued"
675 MONTEREY BL,Non-Compliant
829 HAYES ST,Non-Compliant
1930 TARAVAL ST,"Work Complete, CFC Issued"
23 FRANKLIN ST,"Work Complete, CFC Issued"
2341 DIVISADERO ST,Non-Compliant
3180 SAN BRUNO AV,Non-Compliant
336 PIERCE ST,"Work Complete, CFC Issued"
359 20TH AV,"Work Complete, CFC Issued"
30 BERNARD ST,"Permit Submitted, CFC Required by 9/15/20"
2043 BUSH ST,"Work Complete, CFC Issued"
24 PEREGO TR,"Work Complete, CFC Issued"
1360 KEARNY ST,"Work Complete, CFC Issued"
2364 PACIFIC AV,"Work Complete, CFC Issued"
3333 OCTAVIA ST,"Work Complete, CFC Issued"
1010 FELL ST,"Work Complete, CFC Issued"
1305 LOMBARD ST,"Work Complete, CFC Issued"
1738 POLK ST,"Permit Submitted, CFC Required by 9/15/20"
2770 SAN BRUNO AV,"Permit Submitted, CFC Required by 9/15/20"
274 26TH AV,"Work Complete, CFC Issued"
1545 GREEN ST,"Work Complete, CFC Issued"
1296 HAIGHT ST,"Work Complete, CFC Issued"
2631 23RD ST,Non-Compliant
559 LOMBARD ST,Non-Compliant
2840 FOLSOM ST,"Work Complete, CFC Issued"
2025 BRODERICK ST,"Work Complete, CFC Issued"
1679 BRODERICK ST,"Work Complete, CFC Issued"
1920 JEFFERSON ST,"Work Complete, CFC Issued"
415 EUCLID AV,"Work Complete, CFC Issued"
1241 18TH AV,"Work Complete, CFC Issued"
156 PARNASSUS AV,"Work Complete, CFC Issued"
1763 STOCKTON ST,"Work Complete, No CFC Issued yet"
566 VALLEJO ST,"Work Complete, CFC Issued"
202 IVY ST,"Work Complete, CFC Issued"
800 48TH AV,Non-Compliant
74 RETIRO WY,"Permit Submitted, CFC Required by 9/15/20"
2955 VAN NESS AV,"Work Complete, CFC Issued"
445 OCTAVIA ST,"Permit Submitted, CFC Required by 9/15/20"
249 CENTRAL AV,"Work Complete, CFC Issued"
144 CARL ST,"Work Complete, CFC Issued"
996 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
205 08TH AV,"Work Complete, CFC Issued"
1012 COLE ST,"Work Complete, CFC Issued"
2641 GOUGH ST,"Permit Submitted, CFC Required by 9/15/20"
2805 VAN NESS AV,"Work Complete, CFC Issued"
495 14TH AV,"Work Complete, CFC Issued"
2380 WASHINGTON ST,Non-Compliant
2344 VAN NESS AV,"Work Complete, CFC Issued"
1946 McALLISTER ST,"Work Complete, CFC Issued"
1440 GOLDEN GATE AV,"Work Complete, CFC Issued"
775 GUERRERO ST,"Work Complete, CFC Issued"
4340 CALIFORNIA ST,"Permit Submitted, CFC Required by 9/15/20"
229 19TH AV,"Work Complete, CFC Issued"
2245 SACRAMENTO ST,"Work Complete, CFC Issued"
1246 SACRAMENTO ST,"Work Complete, CFC Issued"
179 CASTRO ST,"Work Complete, CFC Issued"
1451 GUERRERO ST,"Work Complete, CFC Issued"
600 41ST AV,Non-Compliant
1135 FRANCISCO ST,"Work Complete, CFC Issued"
138 HERMANN ST,Non-Compliant
890 34TH AV,"Work Complete, CFC Issued"
772 06TH AV,Non-Compliant
328 PENNSYLVANIA AV,"Work Complete, CFC Issued"
14 ISIS ST,Non-Compliant
846 SHOTWELL ST,Non-Compliant
458 LYON ST,"Work Complete, CFC Issued"
2438 LAKE ST,"Work Complete, CFC Issued"
1517 WALLER ST,"Work Complete, CFC Issued"
99 LUPINE AV,"Work Complete, CFC Issued"
17 GODEUS ST,"Work Complete, CFC Issued"
190 08TH AV,"Work Complete, CFC Issued"
1906 MISSION ST,"Work Complete, No CFC Issued yet"
2927 SACRAMENTO ST,"Work Complete, CFC Issued"
1377 FULTON ST,"Work Complete, CFC Issued"
1050 COLUMBUS AV,"Work Complete, CFC Issued"
1765 VALLEJO ST,"Work Complete, CFC Issued"
1200 FRANCISCO ST,"Work Complete, CFC Issued"
1359 OAK ST,Non-Compliant
171 COLLINGWOOD ST,"Work Complete, CFC Issued"
833 COLE ST,Non-Compliant
3875 18TH ST,Non-Compliant
130 GRAYSTONE TR,"Work Complete, CFC Issued"
535 BRODERICK ST,Non-Compliant
3730 SCOTT ST,"Work Complete, CFC Issued"
1428 STEINER ST,Non-Compliant
1335 16TH AV,Non-Compliant
123 BUENA VISTA EAST AV,"Work Complete, CFC Issued"
36 VALLEY ST,"Work Complete, CFC Issued"
40 SHRADER ST,"Work Complete, CFC Issued"
1358 POTRERO AV,"Work Complete, CFC Issued"
164 23RD AV,"Work Complete, CFC Issued"
2038 DIVISADERO ST,Non-Compliant
3653 24TH ST,Non-Compliant
1485 CLAY ST,"Permit Submitted, CFC Required by 9/15/20"
967 HAIGHT ST,"Work Complete, CFC Issued"
439 ARGUELLO BLVD,"Work Complete, CFC Issued"
701 UNION ST,"Permit Submitted, CFC Required by 9/15/20"
3810 SACRAMENTO ST,"Work Complete, CFC Issued"
4340 ANZA ST,Non-Compliant
3488 22ND ST,"Work Complete, CFC Issued"
130 GOUGH ST,Non-Compliant
649 25TH AV,Non-Compliant
1275 WALLER ST,Non-Compliant
1421 PAGE ST,"Work Complete, CFC Issued"
1142 MONTGOMERY ST,"Work Complete, CFC Issued"
1395 MASONIC AV,"Work Complete, CFC Issued"
5070A DIAMOND HEIGHTS BL,"Work Complete, CFC Issued"
4728 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
1069 CAPP ST,Non-Compliant
1446 JACKSON ST,"Work Complete, CFC Issued"
8 JORDAN AVE,"Work Complete, CFC Issued"
3421 20TH ST,Non-Compliant
1025 GENEVA AV,"Permit Submitted, CFC Required by 9/15/20"
636 BROADWAY,"Work Complete, CFC Issued"
235 OAK ST,"Work Complete, CFC Issued"
1791 PINE ST,"Work Complete, CFC Issued"
1580 05TH AV,Non-Compliant
1604 MCALLISTER ST,Non-Compliant
801 BAKER ST,"Work Complete, CFC Issued"
3201 MISSION ST,"Work Complete, CFC Issued"
3603 SACRAMENTO ST,"Work Complete, CFC Issued"
1234 JACKSON ST,"Work Complete, CFC Issued"
760 14TH ST,Non-Compliant
1650 CALIFORNIA ST,Non-Compliant
920 TAYLOR ST,"Work Complete, CFC Issued"
479 STEINER ST,"Work Complete, CFC Issued"
1520 TURK ST,Non-Compliant
473 SANCHEZ ST,Non-Compliant
1342 MASON ST,Non-Compliant
106 HAIGHT ST,"Work Complete, CFC Issued"
995 PINE ST,"Work Complete, CFC Issued"
860 24TH AV,"Work Complete, CFC Issued"
1800 LEAVENWORTH ST,"Work Complete, CFC Issued"
149 DOLORES ST,"Permit Submitted, CFC Required by 9/15/20"
3255 LAGUNA ST,"Work Complete, CFC Issued"
3434 SACRAMENTO ST,Non-Compliant
1067 UNION ST,Non-Compliant
1361 CALIFORNIA ST,"Work Complete, CFC Issued"
465 14TH AV,"Work Complete, CFC Issued"
1900 LEAVENWORTH ST,"Work Complete, CFC Issued"
300 HILL ST,"Work Complete, CFC Issued"
600 OAK ST,"Work Complete, CFC Issued"
1421 10TH AV,Non-Compliant
15 RUSSIA AV,"Work Complete, CFC Issued"
101 SUTRO HEIGHTS AV,"Work Complete, CFC Issued"
372 05TH ST,"Permit Submitted, CFC Required by 9/15/20"
800 HAYES ST,"Permit Submitted, CFC Required by 9/15/20"
669 GRAND VIEW AV,"Work Complete, CFC Issued"
1556 GREEN ST,"Work Complete, CFC Issued"
1416 POWELL ST,"Permit Submitted, CFC Required by 9/15/20"
2335 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
1500 JUDAH ST,"Work Complete, CFC Issued"
485 WARREN DR,"Work Complete, CFC Issued"
1290 12TH AV,"Work Complete, CFC Issued"
370 UPPER TR,"Work Complete, CFC Issued"
1229 CHESTNUT ST,"Work Complete, CFC Issued"
5400 FULTON ST,"Work Complete, CFC Issued"
1820 VALLEJO ST,Non-Compliant
33 GUERRERO ST,"Work Complete, CFC Issued"
1001 IRVING ST,"Permit Submitted, CFC Required by 9/15/20"
452 OAK ST,"Work Complete, No CFC Issued yet"
1335 CLAY ST,Non-Compliant
530 08TH AV,"Work Complete, CFC Issued"
77 HOFF ST,"Work Complete, CFC Issued"
3110 LAGUNA ST,"Work Complete, CFC Issued"
727 WALLER ST,"Work Complete, CFC Issued"
1451 07TH AV,"Work Complete, CFC Issued"
1467 07TH AV,"Work Complete, CFC Issued"
1142 WASHINGTON,"Work Complete, CFC Issued"
2728 JUDAH ST,"Work Complete, CFC Issued"
1770 LOMBARD ST,"Work Complete, CFC Issued"
1369 FILBERT ST,"Work Complete, CFC Issued"
1350 GOLDEN GATE AV,"Work Complete, CFC Issued"
3331 17TH ST,"Permit Submitted, CFC Required by 9/15/20"
220 HAIGHT ST,Non-Compliant
2230 LOMBARD ST,Non-Compliant
246 28TH ST,"Work Complete, CFC Issued"
1512 CLAY ST,"Work Complete, CFC Issued"
295 BUCHANAN ST,"Work Complete, CFC Issued"
119 DAY ST,Non-Compliant
1300 SACRAMENTO ST,"Work Complete, CFC Issued"
1843 WEBSTER ST,"Work Complete, CFC Issued"
1145 PINE ST,"Work Complete, CFC Issued"
2284 MISSION ST,"Work Complete, CFC Issued"
250 28TH ST,"Work Complete, CFC Issued"
626 10TH AV,"Work Complete, CFC Issued"
2845 WASHINGTON ST,Non-Compliant
764 PAGE ST,"Work Complete, CFC Issued"
431 22ND AV,"Work Complete, CFC Issued"
1530 GROVE ST,"Work Complete, CFC Issued"
51 DIAMOND ST,"Work Complete, CFC Issued"
2645 SACRAMENTO ST,Non-Compliant
305 SAN CARLOS ST,"Work Complete, CFC Issued"
1101 OAK ST,"Permit Submitted, CFC Required by 9/15/20"
369 10TH AV,"Work Complete, CFC Issued"
1943 PAGE ST,"Work Complete, CFC Issued"
452 CLEMENTINA ST,"Work Complete, CFC Issued"
421 BUENA VISTA AV,"Work Complete, CFC Issued"
605 LYON ST,"Work Complete, CFC Issued"
1666 GOUGH ST,Non-Compliant
562 GUERRERO ST,"Work Complete, CFC Issued"
645 CAROLINA ST,"Work Complete, CFC Issued"
1494 CALIFORNIA ST,"Permit Submitted, CFC Required by 9/15/20"
50 PARKRIDGE DR,"Work Complete, CFC Issued"
383 SAN JOSE AV,"Work Complete, CFC Issued"
219 CUMBERLAND ST,Non-Compliant
1869 CALIFORNIA ST,"Work Complete, CFC Issued"
2201 BALBOA ST,"Work Complete, No CFC Issued yet"
3330 16TH ST,"Work Complete, CFC Issued"
1849 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
45 GLENDALE ST,"Work Complete, CFC Issued"
2140 VALLEJO ST,"Work Complete, CFC Issued"
930 PACIFIC AV,"Work Complete, CFC Issued"
300 GRAYSTONE TR,"Work Complete, CFC Issued"
663 33RD AV,"Work Complete, CFC Issued"
700 RANDOLPH ST,Non-Compliant
1847 STOCKTON ST,"Work Complete, CFC Issued"
2258 MASON ST,"Permit Submitted, CFC Required by 9/15/20"
860 CORBETT AV,"Work Complete, CFC Issued"
1474 PAGE ST,Non-Compliant
3420 MARKET ST,"Work Complete, CFC Issued"
106 SANCHEZ ST,"Work Complete, CFC Issued"
1612 48TH AV,"Work Complete, CFC Issued"
1653 GRANT AV,"Permit Submitted, CFC Required by 9/15/20"
1371 GROVE ST,"Work Complete, CFC Issued"
3638 19TH ST,"Permit Submitted, CFC Required by 9/15/20"
3232 TARAVAL ST,"Work Complete, CFC Issued"
1801 HAYES ST,"Work Complete, CFC Issued"
2323 LAGUNA ST,"Work Complete, CFC Issued"
2199 PACIFIC AV,"Work Complete, CFC Issued"
2230 TURK BL,Non-Compliant
3484 18TH ST,"Permit Submitted, CFC Required by 9/15/20"
356 26TH AV,"Work Complete, CFC Issued"
1274 VALLEJO ST,Non-Compliant
513 CAPP ST,"Work Complete, CFC Issued"
4300 ANZA ST,"Work Complete, CFC Issued"
1010 ANZA ST,Non-Compliant
1350 GRANT AV,"Permit Submitted, CFC Required by 9/15/20"
1905 LAGUNA ST,"Work Complete, CFC Issued"
2856 SCOTT ST,"Work Complete, CFC Issued"
627 CORBETT AV,"Work Complete, CFC Issued"
1100 CLAY ST,"Work Complete, CFC Issued"
46 ALVARADO ST,"Work Complete, CFC Issued"
1851 DIVISADERO ST,"Permit Submitted, CFC Required by 9/15/20"
3100 WEBSTER ST,"Work Complete, CFC Issued"
2987 22ND ST,"Work Complete, CFC Issued"
291 BRODERICK ST,"Work Complete, CFC Issued"
122 TIFFANY AV,Non-Compliant
154 DOWNEY ST,"Work Complete, CFC Issued"
5901 GEARY BL,"Permit Submitted, CFC Required by 9/15/20"
1345 CLEMENT ST,Non-Compliant
95 26TH AV,"Work Complete, CFC Issued"
2 28TH ST,"Work Complete, CFC Issued"
3870 SACRAMENTO ST,"Work Complete, CFC Issued"
2280 JACKSON ST,"Work Complete, CFC Issued"
1700 FILBERT ST,"Permit Submitted, CFC Required by 9/15/20"
1251 HYDE ST,Non-Compliant
2301 BAY ST,"Work Complete, CFC Issued"
158 SHRADER ST,"Work Complete, CFC Issued"
2130 FELL ST,"Work Complete, CFC Issued"
120 GUERRERO ST,"Work Complete, CFC Issued"
204 DORE ST,"Work Complete, CFC Issued"
1533 LARKIN ST,"Work Complete, CFC Issued"
209 LINCOLN WY,"Work Complete, CFC Issued"
91 CENTRAL AV,"Work Complete, CFC Issued"
2598 43RD AV,"Work Complete, CFC Issued"
561 BAKER ST,Non-Compliant
1860 TURK ST,Non-Compliant
4612 17TH ST,"Work Complete, CFC Issued"
1556 TAYLOR ST,"Work Complete, CFC Issued"
300 ANZAVISTA AV,"Work Complete, CFC Issued"
318 21ST AV,"Work Complete, CFC Issued"
1394 HAYES ST,"Permit Submitted, CFC Required by 9/15/20"
169 BUENA VISTA TR,"Work Complete, CFC Issued"
335 GRAND VIEW AV,"Work Complete, CFC Issued"
1059 CLEMENT ST,"Work Complete, CFC Issued"
470 COLLINGWOOD ST,"Work Complete, CFC Issued"
477 14TH ST,"Work Complete, CFC Issued"
1300 41ST AV,"Work Complete, CFC Issued"
122 ALBION ST,"Work Complete, CFC Issued"
1211 14TH AV,"Work Complete, CFC Issued"
5519 MISSION ST,"Work Complete, CFC Issued"
50 GARDENSIDE DR,"Work Complete, CFC Issued"
750 GUERRERO ST,"Work Complete, CFC Issued"
1400 GRANT AV,"Work Complete, CFC Issued"
14 LIBERTY ST,"Work Complete, CFC Issued"
300 ARGUELLO BL,"Work Complete, CFC Issued"
149 CASTRO ST,Non-Compliant
4400 ANZA ST,"Work Complete, CFC Issued"
3640 26TH ST,"Permit Submitted, CFC Required by 9/15/20"
2595 WASHINGTON ST,"Work Complete, CFC Issued"
2807 STEINER ST,"Work Complete, CFC Issued"
31 HARRIET ST,Non-Compliant
25 ROSIE LEE LN,"Work Complete, CFC Issued"
3035 GOUGH ST,Non-Compliant
36 ADDISON ST,"Work Complete, CFC Issued"
410 SCOTT ST,"Work Complete, CFC Issued"
165 ALBION ST,"Work Complete, CFC Issued"
943 GUERRERO ST,"Work Complete, CFC Issued"
3755 FILLMORE ST,"Work Complete, CFC Issued"
892 UNION ST,"Work Complete, CFC Issued"
30 GRAND VIEW AV,"Work Complete, No CFC Issued yet"
925 PIERCE ST,"Work Complete, CFC Issued"
2560 POLK ST,"Work Complete, CFC Issued"
3156 24TH ST,"Permit Submitted, CFC Required by 9/15/20"
1225 HYDE ST,"Work Complete, CFC Issued"
1700 JONES ST,Non-Compliant
2875 JACKSON ST,"Work Complete, CFC Issued"
795 COLE ST,"Work Complete, CFC Issued"
1321 COLUMBUS AV,Non-Compliant
1 JORDAN AV,Non-Compliant
5140 GEARY BL,"Permit Submitted, CFC Required by 9/15/20"
130 COLE ST,Non-Compliant
3079 BRODERICK ST,"Work Complete, CFC Issued"
528 SHOTWELL ST,"Work Complete, CFC Issued"
1436 48TH AV,"Work Complete, CFC Issued"
1522 HOWARD ST,Non-Compliant
428 BURNETT AV,"Work Complete, CFC Issued"
121 DOLORES ST,"Work Complete, CFC Issued"
2412 JONES ST,"Work Complete, CFC Issued"
3659 18TH ST,"Work Complete, CFC Issued"
2845 PIERCE ST,"Work Complete, CFC Issued"
1910 GREENWICH ST,"Work Complete, CFC Issued"
2800 FILBERT ST,"Work Complete, CFC Issued"
240 CHATTANOOGA ST,"Work Complete, CFC Issued"
58 RONDEL PL,Non-Compliant
1159 HYDE ST,"Work Complete, CFC Issued"
1277 09TH AV,Non-Compliant
426 22ND AV,Non-Compliant
1940 ELLIS ST,"Work Complete, CFC Issued"
3545 WASHINGTON ST,"Work Complete, CFC Issued"
301 UNION ST,"Work Complete, CFC Issued"
40 HENRY ST,"Work Complete, CFC Issued"
950 STEINER ST,Non-Compliant
800 26TH AV,"Work Complete, CFC Issued"
1251 20TH AV,"Work Complete, CFC Issued"
25 EDWARD ST,"Work Complete, CFC Issued"
1306 LA PLAYA,Non-Compliant
1759 FILBERT ST,Non-Compliant
3336 16TH ST,Non-Compliant
112 ARGUELLO BL,"Work Complete, CFC Issued"
2027 POWELL ST,"Work Complete, CFC Issued"
1315 PAGE ST,"Work Complete, CFC Issued"
65 EDWARD ST,"Work Complete, CFC Issued"
2 LEONA TR,"Work Complete, CFC Issued"
215 SAN JOSE AV,"Work Complete, CFC Issued"
100 ALTA ST,Non-Compliant
2605 MARKET ST,Non-Compliant
1555 OAK ST,"Work Complete, CFC Issued"
342 PIERCE ST,"Permit Submitted, CFC Required by 9/15/20"
3301 CESAR CHAVEZ ST,"Work Complete, CFC Issued"
1135 GUERRERO ST,Non-Compliant
270 26TH AV,"Work Complete, CFC Issued"
1125 TAYLOR ST,"Work Complete, CFC Issued"
7 CASA WY,"Work Complete, CFC Issued"
241 FRANCISCO ST,"Work Complete, CFC Issued"
388 05TH ST,"Work Complete, CFC Issued"
420 14TH ST,"Work Complete, CFC Issued"
2878 SACRAMENTO ST,"Work Complete, CFC Issued"
3716 24TH ST,"Work Complete, CFC Issued"
647 FELL ST,"Work Complete, CFC Issued"
626 NATOMA ST,Non-Compliant
1488 PINE ST,"Permit Submitted, CFC Required by 9/15/20"
1948 WASHINGTON ST,Non-Compliant
100 PORTOLA DR,"Work Complete, CFC Issued"
3352 18TH ST,Non-Compliant
